Origen,Destino,Distancia (km)
Bucaramanga,Bogotá,509.43
Bucaramanga,San José del Guaviare,905.19
Bucaramanga,Neiva,701.16
Bucaramanga,Riohacha,667.19
Bucaramanga,Santa Marta,540.85
Bucaramanga,Villavicencio,628.15
Bucaramanga,San Juan de Pasto,1165.39
Bucaramanga,Cúcuta,195.32
Bucaramanga,Mocoa,1019.92
Bucaramanga,Armenia,600.85
Bucaramanga,Pereira,607.72
Bucaramanga,Sincelejo,499.93
Bucaramanga,Ibagué,511.13
Bucaramanga,Cali,777.3
Bucaramanga,Puerto Carreño,1062.88
Sincelejo,Medellín,475.57
Sincelejo,Arauca,1004.88
Sincelejo,Barranquilla,232.72
Sincelejo,Cartagena de Indias,182.77
Sincelejo,Tunja,776.66
Sincelejo,Manizales,679.8
Sincelejo,Florencia,1337.14
Sincelejo,Yopal,965.53
Sincelejo,Popayán,1025.24
Sincelejo,Valledupar,317.91
Sincelejo,Quibdó,703.52
Sincelejo,Montería,118.89
Sincelejo,Bogotá,910.0
Sincelejo,San José del Guaviare,1305.76
Sincelejo,Neiva,1101.74
Sincelejo,Riohacha,489.36
Sincelejo,Santa Marta,326.62
Sincelejo,Villavicencio,1028.72
Sincelejo,San Juan de Pasto,1279.6
Sincelejo,Cúcuta,591.34
Sincelejo,Mocoa,1420.49
Sincelejo,Armenia,762.54
Sincelejo,Pereira,696.6
Sincelejo,Bucaramanga,565.22
Sincelejo,Ibagué,911.7
Sincelejo,Cali,894.09
Sincelejo,Puerto Carreño,1628.21
Ibagué,Medellín,343.85
Ibagué,Arauca,912.14
Ibagué,Barranquilla,993.09
Ibagué,Cartagena de Indias,1035.13
Ibagué,Tunja,336.38
Ibagué,Manizales,172.39
Ibagué,Florencia,445.72
Ibagué,Yopal,546.85
Ibagué,Popayán,393.27
Ibagué,Valledupar,886.02
Ibagué,Quibdó,366.64
Ibagué,Montería,748.43
Ibagué,Bogotá,198.68
Ibagué,San José del Guaviare,563.75
Ibagué,Neiva,210.32
Ibagué,Riohacha,1079.59
Ibagué,Santa Marta,953.25
Ibagué,Villavicencio,286.71
Ibagué,San Juan de Pasto,674.54
Ibagué,Cúcuta,706.02
Ibagué,Mocoa,529.07
Ibagué,Armenia,85.67
Ibagué,Pereira,120.85
Ibagué,Bucaramanga,510.59
Ibagué,Sincelejo,912.33
Ibagué,Cali,262.12
Ibagué,Puerto Carreño,1135.86
Cali,Medellín,424.81
Cali,Arauca,1163.34
Cali,Barranquilla,1129.85
Cali,Cartagena de Indias,1079.9
Cali,Tunja,587.57
Cali,Manizales,264.18
Cali,Florencia,416.53
Cali,Yopal,798.05
Cali,Popayán,138.05
Cali,Valledupar,1146.19
Cali,Quibdó,428.16
Cali,Montería,834.33
Cali,Bogotá,449.88
Cali,San José del Guaviare,814.94
Cali,Neiva,461.52
Cali,Riohacha,1339.77
Cali,Santa Marta,1213.43
Cali,Villavicencio,537.91
Cali,San Juan de Pasto,392.41
Cali,Cúcuta,966.2
Cali,Mocoa,410.72
Cali,Armenia,184.52
Cali,Pereira,213.5
Cali,Bucaramanga,770.77
Cali,Sincelejo,901.35
Cali,Ibagué,257.07
Cali,Puerto Carreño,1387.06
Puerto Carreño,Medellín,1374.12
Puerto Carreño,Arauca,890.97
Puerto Carreño,Barranquilla,1643.83
Puerto Carreño,Cartagena de Indias,1685.87
Puerto Carreño,Tunja,924.16
Puerto Carreño,Manizales,1258.95
Puerto Carreño,Florencia,1486.26
Puerto Carreño,Yopal,708.77
Puerto Carreño,Popayán,1516.12
Puerto Carreño,Valledupar,1536.75
Puerto Carreño,Quibdó,1499.13
Puerto Carreño,Montería,1547.84
Puerto Carreño,Bogotá,971.86
Puerto Carreño,San José del Guaviare,1135.33
Puerto Carreño,Neiva,1250.86
Puerto Carreño,Riohacha,1639.03
Puerto Carreño,Santa Marta,1603.99
Puerto Carreño,Villavicencio,853.46
Puerto Carreño,San Juan de Pasto,1715.08
Puerto Carreño,Cúcuta,1014.02
Puerto Carreño,Mocoa,1569.61
Puerto Carreño,Armenia,1218.16
Puerto Carreño,Pereira,1253.34
Puerto Carreño,Bucaramanga,1065.48
Puerto Carreño,Sincelejo,1563.07
Puerto Carreño,Ibagué,1137.74
Puerto Carreño,Cali,1394.62
